GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
San Miguel de Abona	2018 Enero	Tasa variación interperiódica	1.20
San Miguel de Abona	2018 Enero	Dato	1261
San Miguel de Abona	2018 Enero	Variación anual	-59
San Miguel de Abona	2018 Enero	Variación interperiódica	15
San Miguel de Abona	2017 Diciembre	Tasa variación anual	-3.41
San Miguel de Abona	2017 Diciembre	Tasa variación interperiódica	-1.50
San Miguel de Abona	2017 Diciembre	Dato	1246
San Miguel de Abona	2017 Diciembre	Variación anual	-44
San Miguel de Abona	2017 Diciembre	Variación interperiódica	-19
San Miguel de Abona	2017 Noviembre	Tasa variación anual	-6.92
San Miguel de Abona	2017 Noviembre	Tasa variación interperiódica	-2.99
San Miguel de Abona	2017 Noviembre	Dato	1265
San Miguel de Abona	2017 Noviembre	Variación anual	-94
San Miguel de Abona	2017 Noviembre	Variación interperiódica	-39
San Miguel de Abona	2017 Octubre	Tasa variación anual	-1.88
San Miguel de Abona	2017 Octubre	Tasa variación interperiódica	3.00
San Miguel de Abona	2017 Octubre	Dato	1304
San Miguel de Abona	2017 Octubre	Variación anual	-25
San Miguel de Abona	2017 Octubre	Variación interperiódica	38
San Miguel de Abona	2017 Septiembre	Tasa variación anual	-4.09
San Miguel de Abona	2017 Septiembre	Tasa variación interperiódica	-1.09
San Miguel de Abona	2017 Septiembre	Dato	1266
San Miguel de Abona	2017 Septiembre	Variación anual	-54
San Miguel de Abona	2017 Septiembre	Variación interperiódica	-14
San Miguel de Abona	2017 Agosto	Tasa variación anual	-1.46
San Miguel de Abona	2017 Agosto	Tasa variación interperiódica	0.71
San Miguel de Abona	2017 Agosto	Dato	1280
San Miguel de Abona	2017 Agosto	Variación anual	-19
San Miguel de Abona	2017 Agosto	Variación interperiódica	9
San Miguel de Abona	2017 Julio	Tasa variación anual	-6.89
San Miguel de Abona	2017 Julio	Tasa variación interperiódica	-2.98
San Miguel de Abona	2017 Julio	Dato	1271
San Miguel de Abona	2017 Julio	Variación anual	-94
San Miguel de Abona	2017 Julio	Variación interperiódica	-39
San Miguel de Abona	2017 Junio	Tasa variación anual	-5.00
San Miguel de Abona	2017 Junio	Tasa variación interperiódica	0.31
San Miguel de Abona	2017 Junio	Dato	1310
San Miguel de Abona	2017 Junio	Variación anual	-69
San Miguel de Abona	2017 Junio	Variación interperiódica	4
San Miguel de Abona	2017 Mayo	Tasa variación anual	-4.81
San Miguel de Abona	2017 Mayo	Tasa variación interperiódica	0.15
San Miguel de Abona	2017 Mayo	Dato	1306
San Miguel de Abona	2017 Mayo	Variación anual	-66
San Miguel de Abona	2017 Mayo	Variación interperiódica	2
San Miguel de Abona	2017 Abril	Tasa variación anual	-3.48
San Miguel de Abona	2017 Abril	Tasa variación interperiódica	-5.23
San Miguel de Abona	2017 Abril	Dato	1304
San Miguel de Abona	2017 Abril	Variación anual	-47
San Miguel de Abona	2017 Abril	Variación interperiódica	-72
San Miguel de Abona	2017 Marzo	Tasa variación anual	3.07
San Miguel de Abona	2017 Marzo	Tasa variación interperiódica	2.76
San Miguel de Abona	2017 Marzo	Dato	1376
San Miguel de Abona	2017 Marzo	Variación anual	41
San Miguel de Abona	2017 Marzo	Variación interperiódica	37
San Miguel de Abona	2017 Febrero	Tasa variación anual	-0.59
San Miguel de Abona	2017 Febrero	Tasa variación interperiódica	1.44
San Miguel de Abona	2017 Febrero	Dato	1339
San Miguel de Abona	2017 Febrero	Variación anual	-8
San Miguel de Abona	2017 Febrero	Variación interperiódica	19
San Miguel de Abona	2017 Enero	Tasa variación anual	-4.14
San Miguel de Abona	2017 Enero	Tasa variación interperiódica	2.33
San Miguel de Abona	2017 Enero	Dato	1320
San Miguel de Abona	2017 Enero	Variación anual	-57
San Miguel de Abona	2017 Enero	Variación interperiódica	30
San Miguel de Abona	2016 Diciembre	Tasa variación anual	-7.79
San Miguel de Abona	2016 Diciembre	Tasa variación interperiódica	-5.08
San Miguel de Abona	2016 Diciembre	Dato	1290
San Miguel de Abona	2016 Diciembre	Variación anual	-109
San Miguel de Abona	2016 Diciembre	Variación interperiódica	-69
San Miguel de Abona	2016 Noviembre	Tasa variación anual	-1.66
San Miguel de Abona	2016 Noviembre	Tasa variación interperiódica	2.26
San Miguel de Abona	2016 Noviembre	Dato	1359
San Miguel de Abona	2016 Noviembre	Variación anual	-23
San Miguel de Abona	2016 Noviembre	Variación interperiódica	30
San Miguel de Abona	2016 Octubre	Tasa variación anual	-2.64
San Miguel de Abona	2016 Octubre	Tasa variación interperiódica	0.68
San Miguel de Abona	2016 Octubre	Dato	1329
San Miguel de Abona	2016 Octubre	Variación anual	-36
San Miguel de Abona	2016 Octubre	Variación interperiódica	9
San Miguel de Abona	2016 Septiembre	Tasa variación anual	-3.72
San Miguel de Abona	2016 Septiembre	Tasa variación interperiódica	1.62
San Miguel de Abona	2016 Septiembre	Dato	1320
San Miguel de Abona	2016 Septiembre	Variación anual	-51
San Miguel de Abona	2016 Septiembre	Variación interperiódica	21
San Miguel de Abona	2016 Agosto	Tasa variación anual	-4.84
San Miguel de Abona	2016 Agosto	Tasa variación interperiódica	-4.84
San Miguel de Abona	2016 Agosto	Dato	1299
San Miguel de Abona	2016 Agosto	Variación anual	-66
San Miguel de Abona	2016 Agosto	Variación interperiódica	-66
San Miguel de Abona	2016 Julio	Tasa variación anual	-3.26
San Miguel de Abona	2016 Julio	Tasa variación interperiódica	-1.02
San Miguel de Abona	2016 Julio	Dato	1365
San Miguel de Abona	2016 Julio	Variación anual	-46
San Miguel de Abona	2016 Julio	Variación interperiódica	-14
San Miguel de Abona	2016 Junio	Tasa variación anual	-4.50
San Miguel de Abona	2016 Junio	Tasa variación interperiódica	0.51
San Miguel de Abona	2016 Junio	Dato	1379
San Miguel de Abona	2016 Junio	Variación anual	-65
San Miguel de Abona	2016 Junio	Variación interperiódica	7
San Miguel de Abona	2016 Mayo	Tasa variación anual	-6.09
San Miguel de Abona	2016 Mayo	Tasa variación interperiódica	1.55
San Miguel de Abona	2016 Mayo	Dato	1372
San Miguel de Abona	2016 Mayo	Variación anual	-89
San Miguel de Abona	2016 Mayo	Variación interperiódica	21
San Miguel de Abona	2016 Abril	Tasa variación anual	-7.47
San Miguel de Abona	2016 Abril	Tasa variación interperiódica	1.20
San Miguel de Abona	2016 Abril	Dato	1351
San Miguel de Abona	2016 Abril	Variación anual	-109
San Miguel de Abona	2016 Abril	Variación interperiódica	16
San Miguel de Abona	2016 Marzo	Tasa variación anual	-8.94
San Miguel de Abona	2016 Marzo	Tasa variación interperiódica	-0.89
San Miguel de Abona	2016 Marzo	Dato	1335
San Miguel de Abona	2016 Marzo	Variación anual	-131
San Miguel de Abona	2016 Marzo	Variación interperiódica	-12
San Miguel de Abona	2016 Febrero	Tasa variación anual	-9.90
San Miguel de Abona	2016 Febrero	Tasa variación interperiódica	-2.18
San Miguel de Abona	2016 Febrero	Dato	1347
San Miguel de Abona	2016 Febrero	Variación anual	-148
San Miguel de Abona	2016 Febrero	Variación interperiódica	-30
San Miguel de Abona	2016 Enero	Tasa variación anual	-9.23
San Miguel de Abona	2016 Enero	Tasa variación interperiódica	-1.57
San Miguel de Abona	2016 Enero	Dato	1377
San Miguel de Abona	2016 Enero	Variación anual	-140
San Miguel de Abona	2016 Enero	Variación interperiódica	-22
San Miguel de Abona	2015 Diciembre	Tasa variación anual	-6.36
San Miguel de Abona	2015 Diciembre	Tasa variación interperiódica	1.23
San Miguel de Abona	2015 Diciembre	Dato	1399
San Miguel de Abona	2015 Diciembre	Variación anual	-95
San Miguel de Abona	2015 Diciembre	Variación interperiódica	17
San Miguel de Abona	2015 Noviembre	Tasa variación anual	-6.75
San Miguel de Abona	2015 Noviembre	Tasa variación interperiódica	1.25
San Miguel de Abona	2015 Noviembre	Dato	1382
San Miguel de Abona	2015 Noviembre	Variación anual	-100
San Miguel de Abona	2015 Noviembre	Variación interperiódica	17
San Miguel de Abona	2015 Octubre	Tasa variación anual	-6.57
San Miguel de Abona	2015 Octubre	Tasa variación interperiódica	-0.44
San Miguel de Abona	2015 Octubre	Dato	1365
San Miguel de Abona	2015 Octubre	Variación anual	-96
San Miguel de Abona	2015 Octubre	Variación interperiódica	-6
San Miguel de Abona	2015 Septiembre	Tasa variación anual	-6.73
San Miguel de Abona	2015 Septiembre	Tasa variación interperiódica	0.44
San Miguel de Abona	2015 Septiembre	Dato	1371
San Miguel de Abona	2015 Septiembre	Variación anual	-99
San Miguel de Abona	2015 Septiembre	Variación interperiódica	6
San Miguel de Abona	2015 Agosto	Tasa variación anual	-5.01
San Miguel de Abona	2015 Agosto	Tasa variación interperiódica	-3.26
San Miguel de Abona	2015 Agosto	Dato	1365
San Miguel de Abona	2015 Agosto	Variación anual	-72
San Miguel de Abona	2015 Agosto	Variación interperiódica	-46
San Miguel de Abona	2015 Julio	Tasa variación anual	-2.62
San Miguel de Abona	2015 Julio	Tasa variación interperiódica	-2.29
San Miguel de Abona	2015 Julio	Dato	1411
San Miguel de Abona	2015 Julio	Variación anual	-38
San Miguel de Abona	2015 Julio	Variación interperiódica	-33
San Miguel de Abona	2015 Junio	Tasa variación anual	1.91
San Miguel de Abona	2015 Junio	Tasa variación interperiódica	-1.16
San Miguel de Abona	2015 Junio	Dato	1444
San Miguel de Abona	2015 Junio	Variación anual	27
San Miguel de Abona	2015 Junio	Variación interperiódica	-17
San Miguel de Abona	2015 Mayo	Tasa variación anual	-0.75
San Miguel de Abona	2015 Mayo	Tasa variación interperiódica	0.07
San Miguel de Abona	2015 Mayo	Dato	1461
San Miguel de Abona	2015 Mayo	Variación anual	-11
San Miguel de Abona	2015 Mayo	Variación interperiódica	1
San Miguel de Abona	2015 Abril	Tasa variación anual	1.11
San Miguel de Abona	2015 Abril	Tasa variación interperiódica	-0.41
San Miguel de Abona	2015 Abril	Dato	1460
San Miguel de Abona	2015 Abril	Variación anual	16
San Miguel de Abona	2015 Abril	Variación interperiódica	-6
San Miguel de Abona	2015 Marzo	Tasa variación anual	-2.01
San Miguel de Abona	2015 Marzo	Tasa variación interperiódica	-1.94
San Miguel de Abona	2015 Marzo	Dato	1466
San Miguel de Abona	2015 Marzo	Variación anual	-30
San Miguel de Abona	2015 Marzo	Variación interperiódica	-29
San Miguel de Abona	2015 Febrero	Tasa variación anual	-0.66
San Miguel de Abona	2015 Febrero	Tasa variación interperiódica	-1.45
San Miguel de Abona	2015 Febrero	Dato	1495
San Miguel de Abona	2015 Febrero	Variación anual	-10
San Miguel de Abona	2015 Febrero	Variación interperiódica	-22
San Miguel de Abona	2015 Enero	Tasa variación anual	0.40
San Miguel de Abona	2015 Enero	Tasa variación interperiódica	1.54
San Miguel de Abona	2015 Enero	Dato	1517
San Miguel de Abona	2015 Enero	Variación anual	6
San Miguel de Abona	2015 Enero	Variación interperiódica	23
San Miguel de Abona	2014 Diciembre	Tasa variación anual	-1.19
San Miguel de Abona	2014 Diciembre	Tasa variación interperiódica	0.81
San Miguel de Abona	2014 Diciembre	Dato	1494
San Miguel de Abona	2014 Diciembre	Variación anual	-18
San Miguel de Abona	2014 Diciembre	Variación interperiódica	12
San Miguel de Abona	2014 Noviembre	Tasa variación anual	-6.02
San Miguel de Abona	2014 Noviembre	Tasa variación interperiódica	1.44
San Miguel de Abona	2014 Noviembre	Dato	1482
San Miguel de Abona	2014 Noviembre	Variación anual	-95
San Miguel de Abona	2014 Noviembre	Variación interperiódica	21
San Miguel de Abona	2014 Octubre	Tasa variación anual	-9.70
San Miguel de Abona	2014 Octubre	Tasa variación interperiódica	-0.61
San Miguel de Abona	2014 Octubre	Dato	1461
San Miguel de Abona	2014 Octubre	Variación anual	-157
San Miguel de Abona	2014 Octubre	Variación interperiódica	-9
San Miguel de Abona	2014 Septiembre	Tasa variación anual	-11.55
San Miguel de Abona	2014 Septiembre	Tasa variación interperiódica	2.30
San Miguel de Abona	2014 Septiembre	Dato	1470
San Miguel de Abona	2014 Septiembre	Variación anual	-192
San Miguel de Abona	2014 Septiembre	Variación interperiódica	33
San Miguel de Abona	2014 Agosto	Tasa variación anual	-13.75
San Miguel de Abona	2014 Agosto	Tasa variación interperiódica	-0.83
San Miguel de Abona	2014 Agosto	Dato	1437
San Miguel de Abona	2014 Agosto	Variación anual	-229
San Miguel de Abona	2014 Agosto	Variación interperiódica	-12
San Miguel de Abona	2014 Julio	Tasa variación anual	-13.70
San Miguel de Abona	2014 Julio	Tasa variación interperiódica	2.26
San Miguel de Abona	2014 Julio	Dato	1449
San Miguel de Abona	2014 Julio	Variación anual	-230
San Miguel de Abona	2014 Julio	Variación interperiódica	32
San Miguel de Abona	2014 Junio	Tasa variación anual	-16.60
San Miguel de Abona	2014 Junio	Tasa variación interperiódica	-3.74
San Miguel de Abona	2014 Junio	Dato	1417
San Miguel de Abona	2014 Junio	Variación anual	-282
San Miguel de Abona	2014 Junio	Variación interperiódica	-55
San Miguel de Abona	2014 Mayo	Tasa variación anual	-13.82
San Miguel de Abona	2014 Mayo	Tasa variación interperiódica	1.94
San Miguel de Abona	2014 Mayo	Dato	1472
San Miguel de Abona	2014 Mayo	Variación anual	-236
San Miguel de Abona	2014 Mayo	Variación interperiódica	28
San Miguel de Abona	2014 Abril	Tasa variación anual	-14.56
San Miguel de Abona	2014 Abril	Tasa variación interperiódica	-3.48
San Miguel de Abona	2014 Abril	Dato	1444
San Miguel de Abona	2014 Abril	Variación anual	-246
San Miguel de Abona	2014 Abril	Variación interperiódica	-52
San Miguel de Abona	2014 Marzo	Tasa variación anual	-9.22
San Miguel de Abona	2014 Marzo	Tasa variación interperiódica	-0.60
San Miguel de Abona	2014 Marzo	Dato	1496
San Miguel de Abona	2014 Marzo	Variación anual	-152
San Miguel de Abona	2014 Marzo	Variación interperiódica	-9
San Miguel de Abona	2014 Febrero	Tasa variación anual	-10.36
San Miguel de Abona	2014 Febrero	Tasa variación interperiódica	-0.40
San Miguel de Abona	2014 Febrero	Dato	1505
San Miguel de Abona	2014 Febrero	Variación anual	-174
San Miguel de Abona	2014 Febrero	Variación interperiódica	-6
San Miguel de Abona	2014 Enero	Tasa variación anual	-9.63
San Miguel de Abona	2014 Enero	Tasa variación interperiódica	-0.07
San Miguel de Abona	2014 Enero	Dato	1511
San Miguel de Abona	2014 Enero	Variación anual	-161
San Miguel de Abona	2014 Enero	Variación interperiódica	-1
San Miguel de Abona	2013 Diciembre	Tasa variación anual	-7.80
San Miguel de Abona	2013 Diciembre	Tasa variación interperiódica	-4.12
San Miguel de Abona	2013 Diciembre	Dato	1512
San Miguel de Abona	2013 Diciembre	Variación anual	-128
San Miguel de Abona	2013 Diciembre	Variación interperiódica	-65
San Miguel de Abona	2013 Noviembre	Tasa variación anual	-6.85
San Miguel de Abona	2013 Noviembre	Tasa variación interperiódica	-2.53
San Miguel de Abona	2013 Noviembre	Dato	1577
San Miguel de Abona	2013 Noviembre	Variación anual	-116
San Miguel de Abona	2013 Noviembre	Variación interperiódica	-41
San Miguel de Abona	2013 Octubre	Tasa variación anual	-0.37
San Miguel de Abona	2013 Octubre	Tasa variación interperiódica	-2.65
San Miguel de Abona	2013 Octubre	Dato	1618
San Miguel de Abona	2013 Octubre	Variación anual	-6
San Miguel de Abona	2013 Octubre	Variación interperiódica	-44
San Miguel de Abona	2013 Septiembre	Tasa variación anual	0.00
San Miguel de Abona	2013 Septiembre	Tasa variación interperiódica	-0.24
San Miguel de Abona	2013 Septiembre	Dato	1662
San Miguel de Abona	2013 Septiembre	Variación anual	0
San Miguel de Abona	2013 Septiembre	Variación interperiódica	-4
San Miguel de Abona	2013 Agosto	Tasa variación anual	1.22
San Miguel de Abona	2013 Agosto	Tasa variación interperiódica	-0.77
San Miguel de Abona	2013 Agosto	Dato	1666
San Miguel de Abona	2013 Agosto	Variación anual	20
San Miguel de Abona	2013 Agosto	Variación interperiódica	-13
San Miguel de Abona	2013 Julio	Tasa variación anual	1.63
San Miguel de Abona	2013 Julio	Tasa variación interperiódica	-1.18
San Miguel de Abona	2013 Julio	Dato	1679
San Miguel de Abona	2013 Julio	Variación anual	27
San Miguel de Abona	2013 Julio	Variación interperiódica	-20
San Miguel de Abona	2013 Junio	Tasa variación anual	0.30
San Miguel de Abona	2013 Junio	Tasa variación interperiódica	-0.53
San Miguel de Abona	2013 Junio	Dato	1699
San Miguel de Abona	2013 Junio	Variación anual	5
San Miguel de Abona	2013 Junio	Variación interperiódica	-9
San Miguel de Abona	2013 Mayo	Tasa variación anual	0.12
San Miguel de Abona	2013 Mayo	Tasa variación interperiódica	1.07
San Miguel de Abona	2013 Mayo	Dato	1708
San Miguel de Abona	2013 Mayo	Variación anual	2
San Miguel de Abona	2013 Mayo	Variación interperiódica	18
San Miguel de Abona	2013 Abril	Tasa variación anual	1.02
San Miguel de Abona	2013 Abril	Tasa variación interperiódica	2.55
San Miguel de Abona	2013 Abril	Dato	1690
San Miguel de Abona	2013 Abril	Variación anual	17
San Miguel de Abona	2013 Abril	Variación interperiódica	42
San Miguel de Abona	2013 Marzo	Tasa variación anual	-0.84
San Miguel de Abona	2013 Marzo	Tasa variación interperiódica	-1.85
San Miguel de Abona	2013 Marzo	Dato	1648
San Miguel de Abona	2013 Marzo	Variación anual	-14
San Miguel de Abona	2013 Marzo	Variación interperiódica	-31
San Miguel de Abona	2013 Febrero	Tasa variación anual	1.70
San Miguel de Abona	2013 Febrero	Tasa variación interperiódica	0.42
San Miguel de Abona	2013 Febrero	Dato	1679
San Miguel de Abona	2013 Febrero	Variación anual	28
San Miguel de Abona	2013 Febrero	Variación interperiódica	7
San Miguel de Abona	2013 Enero	Tasa variación anual	2.20
San Miguel de Abona	2013 Enero	Tasa variación interperiódica	1.95
San Miguel de Abona	2013 Enero	Dato	1672
San Miguel de Abona	2013 Enero	Variación anual	36
San Miguel de Abona	2013 Enero	Variación interperiódica	32
San Miguel de Abona	2012 Diciembre	Tasa variación anual	0.80
San Miguel de Abona	2012 Diciembre	Tasa variación interperiódica	-3.13
San Miguel de Abona	2012 Diciembre	Dato	1640
San Miguel de Abona	2012 Diciembre	Variación anual	13
San Miguel de Abona	2012 Diciembre	Variación interperiódica	-53
San Miguel de Abona	2012 Noviembre	Tasa variación anual	3.67
San Miguel de Abona	2012 Noviembre	Tasa variación interperiódica	4.25
San Miguel de Abona	2012 Noviembre	Dato	1693
San Miguel de Abona	2012 Noviembre	Variación anual	60
San Miguel de Abona	2012 Noviembre	Variación interperiódica	69
San Miguel de Abona	2012 Octubre	Tasa variación anual	3.51
San Miguel de Abona	2012 Octubre	Tasa variación interperiódica	-2.29
San Miguel de Abona	2012 Octubre	Dato	1624
San Miguel de Abona	2012 Octubre	Variación anual	55
San Miguel de Abona	2012 Octubre	Variación interperiódica	-38
San Miguel de Abona	2012 Septiembre	Tasa variación anual	5.52
San Miguel de Abona	2012 Septiembre	Tasa variación interperiódica	0.97
San Miguel de Abona	2012 Septiembre	Dato	1662
San Miguel de Abona	2012 Septiembre	Variación anual	87
San Miguel de Abona	2012 Septiembre	Variación interperiódica	16
San Miguel de Abona	2012 Agosto	Tasa variación anual	2.55
San Miguel de Abona	2012 Agosto	Tasa variación interperiódica	-0.36
San Miguel de Abona	2012 Agosto	Dato	1646
San Miguel de Abona	2012 Agosto	Variación anual	41
San Miguel de Abona	2012 Agosto	Variación interperiódica	-6
San Miguel de Abona	2012 Julio	Tasa variación anual	-0.54
San Miguel de Abona	2012 Julio	Tasa variación interperiódica	-2.48
San Miguel de Abona	2012 Julio	Dato	1652
San Miguel de Abona	2012 Julio	Variación anual	-9
San Miguel de Abona	2012 Julio	Variación interperiódica	-42
San Miguel de Abona	2012 Junio	Tasa variación anual	3.61
San Miguel de Abona	2012 Junio	Tasa variación interperiódica	-0.70
San Miguel de Abona	2012 Junio	Dato	1694
San Miguel de Abona	2012 Junio	Variación anual	59
San Miguel de Abona	2012 Junio	Variación interperiódica	-12
San Miguel de Abona	2012 Mayo	Tasa variación anual	5.77
San Miguel de Abona	2012 Mayo	Tasa variación interperiódica	1.97
San Miguel de Abona	2012 Mayo	Dato	1706
San Miguel de Abona	2012 Mayo	Variación anual	93
San Miguel de Abona	2012 Mayo	Variación interperiódica	33
San Miguel de Abona	2012 Abril	Tasa variación anual	5.09
San Miguel de Abona	2012 Abril	Tasa variación interperiódica	0.66
San Miguel de Abona	2012 Abril	Dato	1673
San Miguel de Abona	2012 Abril	Variación anual	81
San Miguel de Abona	2012 Abril	Variación interperiódica	11
San Miguel de Abona	2012 Marzo	Tasa variación anual	2.09
San Miguel de Abona	2012 Marzo	Tasa variación interperiódica	0.67
San Miguel de Abona	2012 Marzo	Dato	1662
San Miguel de Abona	2012 Marzo	Variación anual	34
San Miguel de Abona	2012 Marzo	Variación interperiódica	11
San Miguel de Abona	2012 Febrero	Tasa variación anual	0.67
San Miguel de Abona	2012 Febrero	Tasa variación interperiódica	0.92
San Miguel de Abona	2012 Febrero	Dato	1651
San Miguel de Abona	2012 Febrero	Variación anual	11
San Miguel de Abona	2012 Febrero	Variación interperiódica	15
San Miguel de Abona	2012 Enero	Tasa variación anual	0.18
San Miguel de Abona	2012 Enero	Tasa variación interperiódica	0.55
San Miguel de Abona	2012 Enero	Dato	1636
San Miguel de Abona	2012 Enero	Variación anual	3
San Miguel de Abona	2012 Enero	Variación interperiódica	9
San Miguel de Abona	2011 Diciembre	Tasa variación anual	0.87
San Miguel de Abona	2011 Diciembre	Tasa variación interperiódica	-0.37
San Miguel de Abona	2011 Diciembre	Dato	1627
San Miguel de Abona	2011 Diciembre	Variación anual	14
San Miguel de Abona	2011 Diciembre	Variación interperiódica	-6
San Miguel de Abona	2011 Noviembre	Tasa variación anual	0.74
San Miguel de Abona	2011 Noviembre	Tasa variación interperiódica	4.08
San Miguel de Abona	2011 Noviembre	Dato	1633
San Miguel de Abona	2011 Noviembre	Variación anual	12
San Miguel de Abona	2011 Noviembre	Variación interperiódica	64
San Miguel de Abona	2011 Octubre	Tasa variación anual	-5.71
San Miguel de Abona	2011 Octubre	Tasa variación interperiódica	-0.38
San Miguel de Abona	2011 Octubre	Dato	1569
San Miguel de Abona	2011 Octubre	Variación anual	-95
San Miguel de Abona	2011 Octubre	Variación interperiódica	-6
San Miguel de Abona	2011 Septiembre	Tasa variación anual	-7.95
San Miguel de Abona	2011 Septiembre	Tasa variación interperiódica	-1.87
San Miguel de Abona	2011 Septiembre	Dato	1575
San Miguel de Abona	2011 Septiembre	Variación anual	-136
San Miguel de Abona	2011 Septiembre	Variación interperiódica	-30
San Miguel de Abona	2011 Agosto	Tasa variación anual	-1.71
San Miguel de Abona	2011 Agosto	Tasa variación interperiódica	-3.37
San Miguel de Abona	2011 Agosto	Dato	1605
San Miguel de Abona	2011 Agosto	Variación anual	-28
San Miguel de Abona	2011 Agosto	Variación interperiódica	-56
San Miguel de Abona	2011 Julio	Tasa variación anual	-1.25
San Miguel de Abona	2011 Julio	Tasa variación interperiódica	1.59
San Miguel de Abona	2011 Julio	Dato	1661
San Miguel de Abona	2011 Julio	Variación anual	-21
San Miguel de Abona	2011 Julio	Variación interperiódica	26
San Miguel de Abona	2011 Junio	Tasa variación anual	-3.99
San Miguel de Abona	2011 Junio	Tasa variación interperiódica	1.36
San Miguel de Abona	2011 Junio	Dato	1635
San Miguel de Abona	2011 Junio	Variación anual	-68
San Miguel de Abona	2011 Junio	Variación interperiódica	22
San Miguel de Abona	2011 Mayo	Tasa variación anual	-5.95
San Miguel de Abona	2011 Mayo	Tasa variación interperiódica	1.32
San Miguel de Abona	2011 Mayo	Dato	1613
San Miguel de Abona	2011 Mayo	Variación anual	-102
San Miguel de Abona	2011 Mayo	Variación interperiódica	21
San Miguel de Abona	2011 Abril	Tasa variación anual	-5.35
San Miguel de Abona	2011 Abril	Tasa variación interperiódica	-2.21
San Miguel de Abona	2011 Abril	Dato	1592
San Miguel de Abona	2011 Abril	Variación anual	-90
San Miguel de Abona	2011 Abril	Variación interperiódica	-36
San Miguel de Abona	2011 Marzo	Tasa variación anual	-2.86
San Miguel de Abona	2011 Marzo	Tasa variación interperiódica	-0.73
San Miguel de Abona	2011 Marzo	Dato	1628
San Miguel de Abona	2011 Marzo	Variación anual	-48
San Miguel de Abona	2011 Marzo	Variación interperiódica	-12
San Miguel de Abona	2011 Febrero	Tasa variación anual	-3.98
San Miguel de Abona	2011 Febrero	Tasa variación interperiódica	0.43
San Miguel de Abona	2011 Febrero	Dato	1640
San Miguel de Abona	2011 Febrero	Variación anual	-68
San Miguel de Abona	2011 Febrero	Variación interperiódica	7
San Miguel de Abona	2011 Enero	Tasa variación anual	-4.78
San Miguel de Abona	2011 Enero	Tasa variación interperiódica	1.24
San Miguel de Abona	2011 Enero	Dato	1633
San Miguel de Abona	2011 Enero	Variación anual	-82
San Miguel de Abona	2011 Enero	Variación interperiódica	20
San Miguel de Abona	2010 Diciembre	Tasa variación anual	-6.87
San Miguel de Abona	2010 Diciembre	Tasa variación interperiódica	-0.49
San Miguel de Abona	2010 Diciembre	Dato	1613
San Miguel de Abona	2010 Diciembre	Variación anual	-119
San Miguel de Abona	2010 Diciembre	Variación interperiódica	-8
San Miguel de Abona	2010 Noviembre	Tasa variación anual	-8.73
San Miguel de Abona	2010 Noviembre	Tasa variación interperiódica	-2.58
San Miguel de Abona	2010 Noviembre	Dato	1621
San Miguel de Abona	2010 Noviembre	Variación anual	-155
San Miguel de Abona	2010 Noviembre	Variación interperiódica	-43
San Miguel de Abona	2010 Octubre	Tasa variación anual	-3.59
San Miguel de Abona	2010 Octubre	Tasa variación interperiódica	-2.75
San Miguel de Abona	2010 Octubre	Dato	1664
San Miguel de Abona	2010 Octubre	Variación anual	-62
San Miguel de Abona	2010 Octubre	Variación interperiódica	-47
San Miguel de Abona	2010 Septiembre	Tasa variación anual	-1.16
San Miguel de Abona	2010 Septiembre	Tasa variación interperiódica	4.78
San Miguel de Abona	2010 Septiembre	Dato	1711
San Miguel de Abona	2010 Septiembre	Variación anual	-20
San Miguel de Abona	2010 Septiembre	Variación interperiódica	78
San Miguel de Abona	2010 Agosto	Tasa variación anual	-5.39
San Miguel de Abona	2010 Agosto	Tasa variación interperiódica	-2.91
San Miguel de Abona	2010 Agosto	Dato	1633
San Miguel de Abona	2010 Agosto	Variación anual	-93
San Miguel de Abona	2010 Agosto	Variación interperiódica	-49
San Miguel de Abona	2010 Julio	Tasa variación anual	-3.33
San Miguel de Abona	2010 Julio	Tasa variación interperiódica	-1.23
San Miguel de Abona	2010 Julio	Dato	1682
San Miguel de Abona	2010 Julio	Variación anual	-58
San Miguel de Abona	2010 Julio	Variación interperiódica	-21
San Miguel de Abona	2010 Junio	Tasa variación anual	-3.18
San Miguel de Abona	2010 Junio	Tasa variación interperiódica	-0.70
San Miguel de Abona	2010 Junio	Dato	1703
San Miguel de Abona	2010 Junio	Variación anual	-56
San Miguel de Abona	2010 Junio	Variación interperiódica	-12
San Miguel de Abona	2010 Mayo	Tasa variación anual	-0.81
San Miguel de Abona	2010 Mayo	Tasa variación interperiódica	1.96
San Miguel de Abona	2010 Mayo	Dato	1715
San Miguel de Abona	2010 Mayo	Variación anual	-14
San Miguel de Abona	2010 Mayo	Variación interperiódica	33
San Miguel de Abona	2010 Abril	Tasa variación anual	2.62
San Miguel de Abona	2010 Abril	Tasa variación interperiódica	0.36
San Miguel de Abona	2010 Abril	Dato	1682
San Miguel de Abona	2010 Abril	Variación anual	43
San Miguel de Abona	2010 Abril	Variación interperiódica	6
San Miguel de Abona	2010 Marzo	Tasa variación anual	5.94
San Miguel de Abona	2010 Marzo	Tasa variación interperiódica	-1.87
San Miguel de Abona	2010 Marzo	Dato	1676
San Miguel de Abona	2010 Marzo	Variación anual	94
San Miguel de Abona	2010 Marzo	Variación interperiódica	-32
